name,createdAt,primaryLanguage,stargazers,pullRequests,releases,updatedAt,total_issues,closed_issues,issue_closure_ratio,age,last_update
freeCodeCamp,2014-12-24T17:49:19Z,TypeScript,399168,22834,0,2024-08-19T01:27:24Z,18186,17994,0.9894424282415044,10,-1
free-programming-books,2013-10-11T06:50:37Z,Unknown,331620,6480,0,2024-08-19T01:32:43Z,1089,1064,0.9770431588613406,11,-1
awesome,2014-07-11T13:42:37Z,Unknown,319784,651,0,2024-08-19T01:35:27Z,340,327,0.961764705882353,10,-1
public-apis,2016-03-20T23:49:42Z,Python,310101,1872,0,2024-08-19T01:28:23Z,600,588,0.98,8,-1
coding-interview-university,2016-06-06T02:34:12Z,Unknown,302546,411,0,2024-08-19T01:19:03Z,438,394,0.8995433789954338,8,-1
build-your-own-x,2018-05-09T12:03:18Z,Unknown,295402,139,0,2024-08-19T01:31:31Z,661,480,0.7261724659606656,6,-1
developer-roadmap,2017-03-15T13:45:52Z,TypeScript,287780,2554,1,2024-08-19T01:27:48Z,2159,2118,0.9810097267253358,7,-1
996.ICU,2019-03-26T07:31:14Z,Unknown,269619,1066,0,2024-08-19T01:19:32Z,0,0,,5,-1
system-design-primer,2017-02-26T16:15:28Z,Python,267258,198,0,2024-08-19T01:30:12Z,294,84,0.2857142857142857,7,-1
react,2013-05-24T16:15:54Z,JavaScript,226392,10656,101,2024-08-18T23:30:50Z,13089,12415,0.9485063794025518,11,-1
awesome-python,2014-06-27T21:00:06Z,Python,216026,543,0,2024-08-19T01:36:46Z,0,0,,10,-1
vue,2013-07-29T03:24:51Z,TypeScript,207576,1135,249,2024-08-19T01:14:34Z,10015,9660,0.964553170244633,11,-1
project-based-learning,2017-04-12T05:07:46Z,Unknown,192533,182,0,2024-08-19T01:35:23Z,160,69,0.43125,7,-1
awesome-selfhosted,2015-06-01T02:33:17Z,Unknown,191247,2392,1,2024-08-19T01:25:24Z,804,804,1.0,9,-1
javascript-algorithms,2018-03-24T07:47:04Z,JavaScript,186239,299,0,2024-08-19T01:30:42Z,351,223,0.6353276353276354,6,-1
tensorflow,2015-11-07T01:19:20Z,C++,184772,22216,208,2024-08-19T01:11:21Z,39637,37849,0.9548906324898453,9,-1
Python,2016-07-16T09:44:01Z,Python,183353,2796,0,2024-08-19T01:26:51Z,1457,1430,0.9814687714481812,8,-1
You-Dont-Know-JS,2013-11-16T02:37:24Z,Unknown,178599,367,0,2024-08-19T01:14:54Z,925,846,0.9145945945945946,11,-1
linux,2011-09-04T22:48:12Z,C,176514,10,0,2024-08-19T01:34:59Z,0,0,,13,-1
CS-Notes,2018-02-13T14:56:24Z,Unknown,174288,374,0,2024-08-19T01:07:29Z,578,446,0.7716262975778547,6,-1
ohmyzsh,2009-08-28T18:15:37Z,Shell,171789,3187,0,2024-08-19T01:19:42Z,4791,4675,0.9757879357127949,15,-1
bootstrap,2011-07-29T21:19:00Z,JavaScript,169781,8779,89,2024-08-19T01:22:34Z,22459,22012,0.9800970657642816,13,-1
computer-science,2014-05-04T00:18:39Z,Unknown,167451,267,0,2024-08-19T01:33:46Z,635,619,0.9748031496062992,10,-1
AutoGPT,2023-03-16T09:21:07Z,Python,165852,1844,21,2024-08-19T01:01:51Z,2505,2383,0.9512974051896208,1,-1
flutter,2015-03-06T22:54:58Z,Dart,164130,38532,7,2024-08-19T01:29:48Z,97524,85014,0.8717238833517903,9,-1
vscode,2015-09-03T20:23:38Z,TypeScript,161632,26692,139,2024-08-19T01:30:45Z,181379,172320,0.9500548575083113,9,-1
gitignore,2010-11-08T20:17:14Z,Unknown,160499,1546,0,2024-08-19T01:28:20Z,0,0,,14,-1
Python-100-Days,2018-03-01T16:05:52Z,Python,153948,13,0,2024-08-19T00:44:08Z,639,110,0.17214397496087636,6,-1
the-art-of-command-line,2015-05-20T15:11:03Z,Unknown,151769,317,0,2024-08-19T01:15:01Z,250,132,0.528,9,-1
JavaGuide,2018-05-07T13:27:00Z,Java,145464,1044,0,2024-08-19T01:25:28Z,1029,966,0.9387755102040817,6,-1
javascript,2012-11-01T23:13:50Z,JavaScript,144316,804,0,2024-08-19T00:36:29Z,1323,1231,0.9304610733182161,12,-1
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,Unknown,140977,122,0,2024-08-19T01:34:30Z,0,0,,6,-1
stable-diffusion-webui,2022-08-22T14:05:26Z,Python,138136,1829,26,2024-08-19T01:27:28Z,7602,5387,0.7086293080768219,2,-1
youtube-dl,2010-10-31T14:35:07Z,Python,130819,1636,341,2024-08-19T00:19:40Z,26586,22879,0.8605657112766117,14,-1
transformers,2018-10-29T13:56:00Z,Python,130697,13131,162,2024-08-19T01:02:40Z,15492,14521,0.9373224890265943,6,-1
awesome-go,2014-07-06T13:42:15Z,Go,127197,3225,0,2024-08-19T01:11:05Z,645,643,0.9968992248062015,10,-1
fucking-algorithm,2020-02-19T09:01:23Z,Markdown,124661,233,1,2024-08-19T01:23:09Z,829,456,0.5500603136308806,4,-1
next.js,2016-10-05T23:32:51Z,JavaScript,124119,17903,1000,2024-08-19T00:42:59Z,20980,18103,0.8628693994280267,8,-1
go,2014-08-19T04:33:40Z,Go,122042,1,0,2024-08-19T01:11:06Z,62943,53862,0.8557266097898099,10,-1
30-seconds-of-code,2017-11-29T17:35:03Z,JavaScript,120774,816,10,2024-08-19T01:14:56Z,294,294,1.0,7,-1
react-native,2015-01-09T18:10:16Z,C++,117638,845,334,2024-08-19T01:15:41Z,25948,25356,0.9771851395097888,9,-1
tech-interview-handbook,2016-07-05T05:00:48Z,TypeScript,115406,459,0,2024-08-19T01:30:46Z,93,62,0.6666666666666666,8,-1
electron,2013-04-12T01:47:36Z,C++,113457,19997,1000,2024-08-19T00:47:35Z,19948,19102,0.9575897333065971,11,-1
free-programming-books-zh_CN,2013-11-04T01:59:19Z,Unknown,110850,282,3,2024-08-19T01:14:02Z,0,0,,11,-1
kubernetes,2014-06-06T22:56:04Z,Go,109248,59136,690,2024-08-18T23:57:45Z,45614,43766,0.9594861226816328,10,-1
d3,2010-09-27T17:22:42Z,Shell,108292,485,194,2024-08-18T22:00:42Z,2197,2191,0.997269003186163,14,0
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,HTML,108189,117,0,2024-08-19T01:33:07Z,0,0,,2,-1
PowerToys,2019-05-01T17:44:02Z,C#,108137,4761,101,2024-08-19T00:53:57Z,28762,22895,0.7960155761073638,5,-1
scrcpy,2017-11-21T18:00:27Z,C,107545,85,39,2024-08-19T01:36:51Z,4666,2750,0.589369909987141,7,-1
node,2014-11-26T19:57:11Z,JavaScript,106052,8584,402,2024-08-19T01:17:55Z,18007,16425,0.9121452768367857,10,-1
axios,2014-08-18T22:30:27Z,JavaScript,105023,855,81,2024-08-18T22:26:14Z,4651,4024,0.8651902816598581,10,0
create-react-app,2016-07-17T14:55:11Z,JavaScript,102399,1944,83,2024-08-18T23:10:25Z,8297,6545,0.7888393395203085,8,-1
three.js,2010-03-23T18:58:01Z,JavaScript,101192,12818,159,2024-08-19T01:19:30Z,12468,12077,0.9686397176772538,14,-1
TypeScript,2014-06-17T15:28:39Z,TypeScript,99694,14288,198,2024-08-19T01:04:26Z,40650,35441,0.8718573185731857,10,-1
nodebestpractices,2017-09-15T08:33:19Z,Dockerfile,98825,765,0,2024-08-19T01:30:34Z,321,283,0.881619937694704,7,-1
GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,Java,97392,0,0,2024-08-19T00:50:40Z,335,157,0.46865671641791046,5,-1
rust,2010-06-16T20:39:03Z,Rust,96073,57107,128,2024-08-19T01:22:35Z,53947,44419,0.8233822084638627,14,-1
angular,2014-09-18T16:12:01Z,TypeScript,95517,3606,352,2024-08-19T01:14:11Z,27868,26478,0.9501220037318788,10,-1
terminal,2017-08-11T18:38:22Z,C++,94649,3836,117,2024-08-19T01:08:27Z,12578,11076,0.880585148672285,7,-1
deno,2018-05-15T01:34:26Z,Rust,93704,11105,288,2024-08-19T00:27:12Z,10516,8618,0.8195131228604032,6,-1
hello-algo,2022-11-04T11:08:34Z,Java,93051,838,8,2024-08-19T01:36:48Z,205,196,0.9560975609756097,2,-1
material-ui,2014-08-18T19:11:54Z,TypeScript,92973,18752,487,2024-08-19T00:57:09Z,19196,17504,0.9118566367993332,10,-1
ant-design,2015-04-24T15:37:24Z,TypeScript,91598,14118,663,2024-08-19T00:48:50Z,29923,28789,0.9621027303412091,9,-1
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,Batchfile,91311,3,15,2024-08-19T01:24:09Z,378,374,0.9894179894179894,4,-1
clean-code-javascript,2016-11-25T22:25:41Z,JavaScript,91035,149,0,2024-08-19T01:02:46Z,154,84,0.5454545454545454,8,-1
langchain,2022-10-17T02:58:36Z,Jupyter Notebook,90851,11224,535,2024-08-19T00:35:11Z,7411,6778,0.9145864255835919,2,-1
HelloGitHub,2016-05-04T06:24:11Z,Python,89366,17,45,2024-08-19T01:29:32Z,2665,2528,0.94859287054409,8,-1
java-design-patterns,2014-08-09T16:45:18Z,Java,89019,1385,0,2024-08-18T23:17:49Z,937,801,0.8548559231590181,10,-1
godot,2014-01-04T16:05:36Z,C++,88022,33515,57,2024-08-19T01:35:37Z,51695,41203,0.797040332720766,10,-1
puppeteer,2017-05-09T22:16:13Z,TypeScript,87977,4775,426,2024-08-19T00:53:43Z,6849,6591,0.9623302671922909,7,-1
vue-element-admin,2017-04-17T03:35:49Z,Vue,87358,311,49,2024-08-19T00:37:22Z,3582,2349,0.6557788944723618,7,-1
free-for-dev,2015-03-18T21:06:26Z,HTML,86553,2532,0,2024-08-19T01:33:58Z,0,0,,9,-1
papers-we-love,2013-12-15T14:31:41Z,Shell,86150,429,0,2024-08-19T00:49:34Z,236,217,0.9194915254237288,11,-1
ollama,2023-06-26T19:39:32Z,Go,85576,1488,86,2024-08-19T01:37:01Z,4035,3017,0.7477075588599752,1,-1
thefuck,2015-04-08T15:08:04Z,Python,84193,482,17,2024-08-18T21:34:01Z,724,470,0.649171270718232,9,0
storybook,2016-03-18T04:23:44Z,TypeScript,83769,10158,1000,2024-08-19T01:14:13Z,12678,10824,0.8537624230951254,8,-1
frp,2015-12-21T15:24:59Z,Go,83535,625,98,2024-08-19T01:18:27Z,3472,3412,0.9827188940092166,9,-1
iptv,2018-11-14T22:00:57Z,JavaScript,83377,6308,0,2024-08-19T01:26:10Z,8223,8196,0.996716526815031,6,-1
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,JavaScript,82656,478,0,2024-08-19T00:41:57Z,288,235,0.8159722222222222,4,-1
Awesome-Hacking,2016-03-30T15:47:10Z,Unknown,81602,31,0,2024-08-19T01:27:24Z,0,0,,8,-1
pytorch,2016-08-13T05:26:41Z,Python,81425,5820,54,2024-08-19T01:32:31Z,44211,30513,0.6901676053470855,8,-1
tailwindcss,2017-10-06T14:59:14Z,TypeScript,81288,2169,228,2024-08-18T23:37:37Z,3342,3309,0.9901256732495511,7,-1
every-programmer-should-know,2017-08-24T13:18:26Z,Unknown,81238,99,0,2024-08-19T01:33:08Z,51,21,0.4117647058823529,7,-1
tauri,2019-07-13T09:09:37Z,Rust,80976,4245,1000,2024-08-19T01:16:46Z,4321,3432,0.7942605878268919,5,-1
neovim,2014-01-31T13:39:22Z,Vim Script,80968,13388,38,2024-08-19T01:17:51Z,11561,10108,0.8743188305509904,10,-1
animate.css,2011-10-12T10:07:38Z,CSS,80425,315,22,2024-08-19T01:35:01Z,864,841,0.9733796296296297,13,-1
yt-dlp,2020-10-26T04:22:55Z,Python,80239,2204,91,2024-08-19T01:33:54Z,7565,6189,0.8181097157964309,4,-1
realworld,2016-02-26T20:49:53Z,TypeScript,80130,428,0,2024-08-19T01:25:53Z,531,491,0.9246704331450094,8,-1
excalidraw,2020-01-02T01:04:43Z,TypeScript,79365,3413,13,2024-08-19T01:19:43Z,3434,1983,0.5774606872451951,4,-1
django,2012-04-28T02:47:18Z,Python,78534,9106,0,2024-08-19T01:07:31Z,0,0,,12,-1
nvm,2010-04-15T17:47:47Z,Shell,78304,708,67,2024-08-19T01:17:53Z,2179,1887,0.8659935750344194,14,-1
svelte,2016-11-20T18:13:05Z,JavaScript,77960,4578,248,2024-08-19T01:20:47Z,6869,6073,0.8841170476051827,8,-1
bitcoin,2010-12-19T15:16:43Z,C++,77923,14344,51,2024-08-19T01:31:38Z,8094,7737,0.9558932542624166,14,-1
laravel,2011-06-08T03:06:08Z,PHP,77807,1578,170,2024-08-19T01:14:36Z,0,0,,13,-1
app-ideas,2019-02-25T18:36:56Z,Unknown,77795,149,0,2024-08-19T01:25:19Z,145,43,0.296551724137931,5,-1
opencv,2012-07-19T09:40:17Z,C++,77516,12271,63,2024-08-19T01:26:57Z,10683,8205,0.7680426846391463,12,-1
gin,2014-06-16T23:57:25Z,Go,77480,1025,26,2024-08-19T01:14:38Z,2216,1621,0.7314981949458483,10,-1
mall,2018-04-04T01:11:44Z,Java,76987,1,3,2024-08-19T01:01:31Z,492,470,0.9552845528455285,6,-1
models,2016-02-05T01:15:20Z,Python,76908,2327,46,2024-08-19T00:30:25Z,7271,6205,0.8533901801677899,8,-1
FiraCode,2014-11-11T19:32:38Z,Clojure,76468,132,29,2024-08-18T23:41:32Z,1324,934,0.7054380664652568,10,-1
